name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J1307.6-4259" "1RXS J130737.8-425940" 196.90685 -42.99394 306.07682568 19.77892844 0.006 0.054 0.0 Unknown HSP -999.0 -999 1.7e-09 4e-10 1.89 0.14 10.7 N N -999 N A -999
"1FGL J0626.6-4254" "CRATES J0626-4253" 96.53292 -42.89219 250.93289054 -22.47023456 0.105 0.105 0.89 Unknown -999 -999.0 -999 6e-10 3e-10 1.57 0.31 4.9 N N S Y H -999
"1FGL J1959.3-4241" "CGRaBS J1959-4246" 299.80579 -42.76886 357.1151424 -30.0042823 0.073 0.106 0.99 FSRQ -999 2.174 -999 1.6e-09 3e-10 2.41 0.12 9.5 Y N S Y H -999
"1FGL J2139.3-4235" "CRATES J2139-4235" 324.85071 -42.58905 358.31732903 -48.3261796 0.001 0.036 1.0 BLL ISP -999.0 -999 8.3e-09 6e-10 2.08 0.04 35.3 Y N S Y H -999
"1FGL J0029.9-4221" "PKS 0027-426" 7.57283 -42.41292 317.32658887 -74.11916531 0.079 0.134 0.99 FSRQ LSP 0.495 -999 7e-10 2e-10 2.39 0.17 6.6 N N S Y H -999
"1FGL J1428.2-4204" "PKS 1424-41" 216.98471 -42.10519 321.44751685 17.27074227 0.072 0.096 1.0 FSRQ LSP 1.522 -999 3.4e-09 5e-10 2.31 0.07 15.0 Y Y S Y H -999
"1FGL J1501.6-4204" "QSO J150255.20-415430.2" 225.73 -41.90839 327.59970236 14.57987786 0.295 0.35 0.63 AGN -999 1.026 -999 9e-10 3e-10 2.87 0.18 6.0 N N S N H -999
"1FGL J1918.4-4108" "CRATES J1918-4111" 289.56738 -41.19192 356.77844119 -22.24278746 0.066 0.078 0.97 BLL -999 -999.0 -999 2.9e-09 4e-10 1.84 0.09 12.1 N N S Y H -999
"1FGL J2325.8-4043" "PKS 2322-411" 351.26409 -40.85835 349.71521866 -67.54433435 0.205 0.14 0.55 Unknown -999 -999.0 -999 2.6e-09 4e-10 2.31 0.08 15.1 N N mm N H -999
"1FGL J2325.8-4043" "1ES 2322-409" 351.18542 -40.68083 350.19485462 -67.58376559 0.213 0.14 0.7 BLL HSP -999.0 -999 2.6e-09 4e-10 2.31 0.08 15.1 N N mm N H -999
"1FGL J1307.0-4030" "ESO 323-G77" 196.60888 -40.41458 306.01815091 22.36727959 0.158 0.179 0.78 AGN -999 0.015 -999 1e-09 3e-10 2.72 0.12 8.8 N N S N H -999
"1FGL J0110.0-4023" "RBS 158" 17.48483 -40.34794 287.96017882 -76.23779312 0.051 0.079 0.0 Unknown HSP -999.0 < 8e-10 -999.0 1.34 0.32 4.2 N N -999 N A -999
"1FGL J0603.0-4012" "1WGA J0602.8-4018" 90.71162 -40.31417 246.92319271 -25.9647396 0.109 0.143 0.0 Unknown -999 -999.0 -999 1.2e-09 3e-10 2.25 0.16 5.6 N N -999 N A -999
"1FGL J0334.2-4010" "PKS 0332-403" 53.55692 -40.14034 244.76387827 -54.07492679 0.028 0.053 1.0 BLL LSP -999.0 -999 3.8e-09 4e-10 2.35 0.06 25.6 N N S Y H -999
"1FGL J1610.8-3955" "VCS2 J1610-3958" 242.59116 -39.98287 339.17055894 8.49880753 0.109 0.183 1.0 FSRQ -999 0.518 -999 1.7e-09 5e-10 2.27 0.19 5.0 N N S N L -999
"1FGL J1938.2-3957" "PKS 1933-400" 294.31758 -39.96711 359.16273523 -25.36605866 0.191 0.164 0.97 FSRQ LSP 0.965 -999 1.8e-09 4e-10 2.45 0.09 11.5 N N S N H -999
"1FGL J0013.1-3952" "PKS 0010-401" 3.24962 -39.90717 332.45798985 -74.93922437 0.044 0.104 1.0 BLL -999 -999.0 -999 5e-10 3e-10 2.09 0.22 5.0 N N S Y H -999
